"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"42322","IL1B","ADRB2",0.0206896551724138,"NK cells",0.135632183908046,"NK cells","cytokine"
"32332","S100A8","TLR4",0.406896551724138,"NK cells",0.00689655172413793,"NK cells","other"
"19273","HLA-E","KLRC2",0.71551724137931,"SMCs",0.00392156862745098,"VECs","other"
"33539","SEMA6A","PLXNA2",0.0993464052287582,"VECs",0.028169014084507,"Fibroblasts","other"
"28455","OSM","LIFR",0.0649064906490649,"T cells",0.0431034482758621,"SMCs","other"
"28480","OSM","OSMR",0.0649064906490649,"T cells",0.0431034482758621,"SMCs","other"
"32017","RSPO3","LGR6",0.101408450704225,"Fibroblasts",0.0275862068965517,"NK cells","other"
"33434","SEMA4D","PLXNB2",0.0827586206896552,"NK cells",0.0338028169014084,"Fibroblasts","other"
"20736","ICAM4","ITGAV",0.282352941176471,"VECs",0.0099009900990099,"T cells","other"
"6918","CALM3","SELL",0.194366197183099,"Fibroblasts",0.0143790849673203,"VECs","other"
"20143","HSPG2","ITGA2",0.0647887323943662,"Fibroblasts",0.0431372549019608,"VECs","other"
"349","FGF10","FGFR1",0.00862068965517241,"SMCs",0.323943661971831,"Fibroblasts","growth factor"
"1499","FGF2","FGFR1",0.00862068965517241,"SMCs",0.323943661971831,"Fibroblasts","growth factor"
"367010","BMP4","BMPR1A",0.0647887323943662,"Fibroblasts",0.0431034482758621,"SMCs","other"
"365611","IL16","CCR5",0.105747126436782,"NK cells",0.0264026402640264,"T cells","cytokine"
"102102","CD40LG","CD40",0.151815181518152,"T cells",0.0183908045977011,"NK cells","checkpoint"
"14579","FASLG","FAS",0.022002200220022,"T cells",0.126760563380282,"Fibroblasts","other"
"36416","TNC","ITGA5",0.126760563380282,"Fibroblasts",0.022002200220022,"T cells","other"
"2521","NGF","KIDINS220",0.0603448275862069,"SMCs",0.0462046204620462,"T cells","growth factor"
"9105","COL3A1","ITGB1",0.0022002200220022,"T cells",1.26724137931034,"SMCs","other"
"9630","COL4A4","ITGB1",0.0022002200220022,"T cells",1.26724137931034,"SMCs","other"
"10205","COL6A1","ITGB1",0.0022002200220022,"T cells",1.26724137931034,"SMCs","other"
"14355","F13A1","ITGB1",0.0022002200220022,"T cells",1.26724137931034,"SMCs","other"
"22655","LAMA2","ITGB1",0.0022002200220022,"T cells",1.26724137931034,"SMCs","other"
"25355","MDK","ITGB1",0.0022002200220022,"T cells",1.26724137931034,"SMCs","other"
"30429","PSEN1","NOTCH2",0.0319031903190319,"T cells",0.0873239436619718,"Fibroblasts","other"
"374410","BMP5","ACVR1",0.109859154929577,"Fibroblasts",0.0253521126760563,"Fibroblasts","other"
"33314","SEMA4C","PLXNB2",0.0823529411764706,"VECs",0.0338028169014084,"Fibroblasts","other"
"24865","LTB","TNFRSF1A",0.0169934640522876,"VECs",0.163793103448276,"SMCs","other"
"29748","PLTP","ABCA1",0.163793103448276,"SMCs",0.0169934640522876,"VECs","other"
"19911","HSP90B1","LRP1",0.843137254901961,"VECs",0.0033003300330033,"T cells","other"
"15727","FN1","ITGB7",0.0242024202420242,"T cells",0.114942528735632,"NK cells","other"
"43712","CCL14","CCR5",0.241830065359477,"VECs",0.0114942528735632,"NK cells","cytokine"
"22622","LAMA2","ITGA6",0.120689655172414,"SMCs",0.0229885057471264,"NK cells","other"
"22947","LAMA5","ITGA6",0.120689655172414,"SMCs",0.0229885057471264,"NK cells","other"
"36897","TNFSF12","TNFRSF25",0.120689655172414,"SMCs",0.0229885057471264,"NK cells","other"
"30983","QDPR","DYSF",0.0298850574712644,"NK cells",0.0928104575163399,"VECs","other"
"33953","SERPINE1","PLAUR",0.0088008800880088,"T cells",0.315032679738562,"VECs","other"
"25524","MDK","SDC3",0.163793103448276,"SMCs",0.0169014084507042,"Fibroblasts","other"
"3813","TGFB3","TGFBR3",0.0156862745098039,"VECs",0.176470588235294,"VECs","growth factor"
"198310","APOE","SCARB1",0.105747126436782,"NK cells",0.0261437908496732,"VECs","other"
"10463","COL8A1","ITGA2",0.0640522875816993,"VECs",0.0431372549019608,"VECs","other"
"12768","EFNA1","EPHA2",0.028169014084507,"Fibroblasts",0.0980392156862745,"VECs","other"
"9152","COL4A1","CD47",0.0066006600660066,"T cells",0.418390804597701,"NK cells","other"
"2894","PDGFC","PDGFRA",0.00845070422535211,"Fibroblasts",0.326760563380282,"Fibroblasts","growth factor"
"19629","HRAS","AGTR1",0.0297029702970297,"T cells",0.0929577464788732,"Fibroblasts","other"
